# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,
# V min: 5.19534, V max: 5.23541,,,,,,
# I min: 0.31158, I max: 0.51002,,,,,,
Time,Voltage,Current,Capacity,Energy,,,
22.4,5.22281,0.32727,0.00221105,0.00289106,,,225
22.5,5.22285,0.3272,0.00222014,0.00290293,,,226
22.6,5.22285,0.33968,0.00222941,0.00291525,,,227
22.7,5.22289,0.33844,0.00223882,0.00292752,,,228
22.8,5.22285,0.32733,0.00224807,0.0029394,,,229
22.9,5.22289,0.32728,0.00225716,0.00295127,,,230
23,5.22289,0.32723,0.00226625,0.00296314,,,231
23.1,5.22293,0.32725,0.00227534,0.002975,,,232
23.2,5.22285,0.32723,0.00228443,0.00298687,,,233
23.3,5.21287,0.39215,0.00229443,0.0030011,,,234
23.4,5.22281,0.35013,0.00230473,0.0030138,,,235
23.5,5.22281,0.33869,0.0023143,0.00302608,,,236
23.6,5.22281,0.32725,0.00232355,0.00303795,,,237
23.7,5.22281,0.31681,0.0023325,0.00304944,,,238
23.8,5.2227,0.35411,0.00234181,0.00306228,,,239
23.9,5.22234,0.33018,0.00235132,0.00307426,,,240
24,5.22234,0.33033,0.00236049,0.00308624,,,241
24.1,5.22238,0.33033,0.00236967,0.00309822,,,242
24.2,5.22234,0.33029,0.00237884,0.00311019,,,243
24.3,5.22242,0.33028,0.00238802,0.00312217,,,244
24.4,5.22246,0.31158,0.00239693,0.00313347,,,245
24.5,5.22246,0.31531,0.00240564,0.00314491,,,246
24.6,5.21036,0.39439,0.0024155,0.00315921,,,247
24.7,5.22152,0.40235,0.00242656,0.0031738,,,248
24.8,5.22078,0.45283,0.00243844,0.00319021,,,249
24.9,5.22027,0.41677,0.00245052,0.00320532,,,250
25,5.21949,0.39091,0.00246174,0.00321948,,,251
25.1,5.21863,0.3924,0.00247261,0.0032337,,,252
25.2,5.21788,0.40086,0.00248363,0.00324823,,,253
25.3,5.2169,0.41304,0.00249494,0.00326319,,,254
25.4,5.216,0.41976,0.0025065,0.00327839,,,255
25.5,5.21518,0.40906,0.00251801,0.0032932,,,256
25.6,5.21432,0.40327,0.0025293,0.0033078,,,257
25.7,5.21424,0.40405,0.00254051,0.00332244,,,258
25.8,5.21432,0.41677,0.00255191,0.00333753,,,259
25.9,5.21432,0.41404,0.00256345,0.00335252,,,260
26,5.21436,0.4037,0.00257481,0.00336714,,,261
26.1,5.21436,0.39166,0.00258585,0.00338132,,,262
26.2,5.21432,0.3919,0.00259674,0.00339551,,,263
26.3,5.21436,0.40369,0.00260779,0.00341013,,,264
26.4,5.21448,0.40371,0.002619,0.00342475,,,265
26.5,5.21456,0.39315,0.00263007,0.00343899,,,266
26.6,5.21456,0.35336,0.00264044,0.00345178,,,267
26.7,5.21479,0.31879,0.00264977,0.00346333,,,268
26.8,5.21569,0.33297,0.00265882,0.00347539,,,269
26.9,5.22664,0.33869,0.00266815,0.00348766,,,270
27,5.21745,0.33794,0.00267755,0.00349993,,,271
27.1,5.21835,0.31357,0.0026866,0.0035113,,,272
27.2,5.21921,0.3173,0.00269536,0.0035228,,,273
27.3,5.22007,0.32601,0.00270429,0.00353462,,,274
27.4,5.22086,0.33521,0.00271348,0.00354678,,,275
27.5,5.22176,0.34305,0.0027229,0.00355922,,,276
27.6,5.22258,0.40036,0.00273322,0.00357374,,,277
27.7,5.22348,0.32724,0.00274333,0.00358561,,,278
